Car Name,Brand,Location,Price (INR),Fuel Type,Transmission,Km Driven,Manufacture Year
2022 Kia SeltosHTK Plus iMT,Kia,Delhi,1077000,Petrol,Manual,17357,2022
2011 Maruti Swift DzireVXi,Maruti,Delhi,150000,Petrol,Manual,20000,2011
2019 Hyundai Creta1.6 E Plus,Hyundai,Delhi,651000,Petrol,Manual,43592,2019
2020 Hyundai Creta1.6 VTVT AT SX Plus,Hyundai,Delhi,1098000,Petrol,Automatic,28897,2020
2022 Hyundai Grand i10 NiosAMT Sportz CRDi,Hyundai,Delhi,628000,Diesel,Automatic,54107,2022
2024 MG HectorSharp Pro,MG,Delhi,1750000,Petrol,Manual,13500,2024
2021 MG HectorSuper MT,MG,Delhi,1195000,Petrol,Manual,16000,2021
2021 Hyundai VenueS,Hyundai,Delhi,615000,Petrol,Manual,29018,2021
2022 Jeep Compass2.0 Limited Opt Diesel BSVI,Jeep,Bihar,1400000,Diesel,Manual,90000,2022
2016 Maruti Wagon RVXI BS IV,Maruti,Bihar,291000,Petrol,Manual,33910,2016
2020 Mahindra XUV500W11 FWD Diesel,Mahindra,Bihar,1150000,Diesel,Manual,63000,2020
2020 Toyota Innova Crysta2.4 G MT,Toyota,Bihar,1600000,Diesel,Manual,70000,2020
2022 Mahindra TharLX 4WD Hard Top Diesel BSVI,Mahindra,Bihar,1351000,Diesel,Manual,40000,2022
2020 Tata TiagoXT BSVI,Tata,Bihar,600000,Petrol,Manual,22620,2020
2019 Mahindra ScorpioS3 7 Seater,Mahindra,Bihar,1150000,Diesel,Manual,65435,2019
2023 Mahindra ScorpioS,Mahindra,Bihar,1460000,Diesel,Manual,55408,2023
2023 Tata Tiago EVXT LR,Tata,Bihar,825000,Electric,Automatic,90000,2023
2023 Maruti Grand VitaraZeta CNG,Maruti,Bihar,1350000,Cng,Manual,71255,2023
2021 Mahindra ScorpioS5,Mahindra,Bihar,1351000,Diesel,Manual,47000,2021
2022 Hyundai i20 N-LineN6 iMT BSVI,Hyundai,Bihar,840000,Petrol,Manual,8824,2022
2023 MG AstorSmart MT,MG,Bihar,1290000,Petrol,Manual,29306,2023
2022 Tata NexonXM BSVI,Tata,Bihar,765000,Petrol,Manual,17925,2022
2022 Hyundai Grand i10 NiosMagna,Hyundai,Bihar,565000,Petrol,Manual,29824,2022
2014 Mahindra BoleroZLX,Mahindra,Bihar,525000,Diesel,Manual,53000,2014
2019 Mahindra ScorpioS3 7 Seater,Mahindra,Bihar,1125000,Diesel,Manual,43000,2019
2021 Mahindra ScorpioS5,Mahindra,Bihar,1351000,Diesel,Manual,47000,2021
2020 Mahindra ScorpioS5,Mahindra,Bihar,1275000,Diesel,Manual,41000,2020
2017 Mahindra ScorpioS2 7 Seater,Mahindra,Bihar,950000,Diesel,Manual,52000,2017
2019 Tata NanoXM,Tata,Jharkhand,190000,Petrol,Manual,30000,2019
2015 Honda Cityi VTEC CVT VX,Honda,Jharkhand,550000,Petrol,Automatic,88650,2015
2016 Maruti CiazZDi,Maruti,Jharkhand,550000,Diesel,Manual,96000,2016
2017 Maruti BalenoDelta Diesel,Maruti,Jharkhand,515000,Diesel,Manual,52000,2017
2014 Tata ZestQuadrajet 1.3 XMS,Tata,Jharkhand,290000,Diesel,Manual,100000,2014
2024 Honda ElevateVX,Honda,Jharkhand,1550000,Petrol,Manual,1001,2024
2021 Maruti IgnisSigma BSVI,Maruti,Jharkhand,425000,Petrol,Manual,46214,2021
